vid,Year,value.S1,value.S10,value.S100,value.S101,value.S102,value.S103,value.S11,value.S12,value.S13,value.S14,value.S15,value.S16,value.S17,value.S18,value.S19,value.S2,value.S20,value.S21,value.S22,value.S23,value.S24,value.S25,value.S26,value.S27,value.S28,value.S29,value.S3,value.S30,value.S31,value.S32,value.S33,value.S34,value.S35,value.S36,value.S37,value.S38,value.S39,value.S4,value.S40,value.S41,value.S42,value.S43,value.S44,value.S45,value.S46,value.S47,value.S48,value.S49,value.S5,value.S50,value.S51,value.S52,value.S53,value.S54,value.S55,value.S56,value.S57,value.S58,value.S59,value.S6,value.S60,value.S61,value.S62,value.S63,value.S64,value.S65,value.S66,value.S67,value.S68,value.S69,value.S7,value.S70,value.S71,value.S72,value.S73,value.S74,value.S75,value.S76,value.S77,value.S78,value.S79,value.S8,value.S80,value.S81,value.S82,value.S83,value.S84,value.S85,value.S86,value.S87,value.S88,value.S89,value.S9,value.S90,value.S91,value.S92,value.S93,value.S94,value.S95,value.S96,value.S97,value.S98,value.S99
6,2012,0,264.6,6988.965,840.31,0,0,0,0,0,0,0,22034.9,7681.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11823.095,1396.305,0,0,0,1629.6875,0,1399.17,0,0,0,0,0,3846.975,1161.6,35161.5825,0,0,0,486183.88,0,0,0,0,0,0,0,0,164.205,36.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1894.7,0,0,0,0,0,755.25,0,0,2393.59,0,0
6,2013,0,0,5091.133633,1599.133209,0,0,0,0,0,0,0,15079.11756,3791.984107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5538.88177,939.8153362,0,0,0,839.4114077,871.3963672,906.2144054,0,0,0,0,0,5179.557437,2515.63494,21597.81853,0,0,0,568878.9064,0,0,0,0,0,0,0,0,820.8815252,258.3352611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769.6929691,0,0,0,0,0,699.2487914,0,0,1905.111013,0,0
6,2014,0,107.5673877,159.8965656,747.0009459,0,0,0,0,0,0,0,13712.21311,4391.258511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2876.002136,486.0984277,0,0,0,0,626.5431816,732.7506808,0,0,0,0,0,5382.212517,3274.056948,25356.36088,0,0,0,515842.8608,0,0,0,0,0,0,0,0,703.3771464,75.9248442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343.958218,0,0,0,0,0,0,0,0,2230.753721,0,0
6,2015,0,231.0779926,297.4576394,1188.521573,0,0,0,0,0,0,0,14169.38213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388.770196,5383.60418,0,0,0,1748.146517,360.3222447,89.29587929,0,0,0,0,0,4843.01029,971.4813686,22075.05238,0,0,0,415840.8959,0,0,0,0,0,0,0,0,43.4976624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.8053581,0,0,0,0,0,0,0,0,1298.574417,0,0
8,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2416,0,0,0,1075,0,0,0,0,0,0,0,11298,0,21741.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.5,0,0,0,0,0,0,0,0,0,0,0
8,2008,0,0,0,752.04,0,0,0,0,0,0,0,0,0,1031.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.67,15075.4,0,0,0,14056.4,191.1,4411.05,0,0,0,0,0,61019.44,0,100598,0,0,0,0,0,329.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5,0,0,0,0,0,0,0,0,4613.7,0,0,0,0,0,94.85,0,0,0,0,0
8,2010,0,0,508.8,86.4,0,0,0,0,0,0,0,0,0,429.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.25,630.8,0,0,0,1983.8,191.25,0,0,0,0,0,0,43301.2,0,81812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5777.1,0,0,0,0,0,0,0,0,0,0,0
8,2011,0,0,623.25,12436.68,0,0,0,0,0,0,0,0,0,13384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848.86,4600.83,0,0,0,8694,567,0,0,0,0,0,0,82839.3,0,30940,0,0,0,0,0,3597.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012,0,0,8561.15,57728.54,0,0,0,0,0,0,0,5285.67,1075.02,3169.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,171.36,21480.56,37279.1,0,0,0,2086.2,24784.68,3020.69,0,0,0,0,0,740721.12,0,278349.7,0,0,0,595.2,0,2684.6,0,0,0,0,0,0,2764.56,0,0,1694.88,0,0,0,0,0,0,0,0,0,0,0,799.84,0,0,0,0,0,0,0,0,8217.79,0,0,0,0,0,39991.6,0,0,4401.17,0,0
8,2013,0,0,1121.563984,37649.82342,0,0,0,0,0,0,0,16285.05394,0,1409.012014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3513.361836,20530.95424,28663.66435,0,0,0,2854.787747,22791.2065,3240.901654,0,0,0,0,0,676458.277,0,489154.2039,0,0,0,4104.881407,0,5663.6,0,0,0,0,0,0,0,1448.340545,0,0,0,0,0,0,0,0,0,0,0,0,0,9688.342141,0,0,0,0,0,0,0,0,8225.678949,0,0,0,0,0,98427.45783,0,0,6850.742841,0,0
