Reference Number,Vessel  ID,Year,Segment,Size Category,Capacity (GT),Length,Capacity Index,Size Index, Total Number of vessels in Segment , Total Active Vessels in Segment , Total Engine Power (kW) for Segment-Size , Total Capacity (GT)  for Segment-Size , Average Length for Segment ,Total Jobs,FTE,  Fishing Income,Non Fishing Income,Total Income, Wages,Energy Costs (Fuel),Repairs & Maintenance,Filters/Lube Oil,Provisions,Ice,Dues & Levies,Sundry Variable Costs,Total Variable Costs,Insurance,Loan Interest,Accountancy,Legal Fees,Sundry fixed costs,Total Fixed Costs,TOTAL COSTS,GROSS PROFIT,Depreciation,Sundry receipts,Net Profit / (Loss)
1126,197,2014,TM,40-70,"1,469.0",60.7,7.3,4.1,21,21,"42,520","22,102",52.3,,,"€6,103,712","€119,106","€6,222,818","€1,143,943","€857,323","€724,792",€0,"€33,935",€0,"€97,045",€0,"€2,857,038","€104,608","€4,464","€19,000","€126,214","€473,368","€727,654","€3,584,692","€2,638,126","€608,432",€0,"€2,029,694"
1127,562,2014,DRB,00-10,0.6,5.7,-0.6,1.7,358,120,"9,800","1,007",7.0,,,"€1,800",€0,"€1,800",€0,€400,€300,€50,€0,€0,,€200,€950,€0,€0,€0,€0,€0,€0,€950,€850,,,€850
1128,222,2014,DFN,10-12,11.2,11.5,2.4,2.4,47,22,"3,173",472,11.1,2.0,,"€51,870","€10,300","€62,170","€31,200","€4,600","€1,200",€360,"€7,200",€0,"€4,000",€0,"€48,560",€0,,€800,€0,€0,€800,"€49,360","€12,810",,,"€12,810"
1129,460,2014,DFN,00-10,2.3,7.3,0.8,2.0,385,178,"7,489",862,6.7,,,"€7,169","€4,800","€11,969",,€750,€500,€200,,,,€550,"€2,000",€850,€156,€600,,€100,"€1,706","€3,706","€8,263",,,"€8,263"
1130,551,2014,FPO,10-12,12.5,11.1,2.5,2.4,93,71,"7,944",983,11.1,,,"€67,440",€0,"€67,440","€49,600","€6,698","€14,921",€160,€0,€0,€0,€0,"€71,379",€0,€0,€0,€0,€0,€0,"€71,379","-€3,939","€4,624",€865,"-€7,698"
1131,108,2014,FPO,10-12,15.6,10.7,2.7,2.4,93,71,"7,944",983,11.1,3.0,,,"€2,280","€2,280",,"€2,500","€2,000","€1,500","€4,000",€0,€0,"€7,250","€17,250","€3,000",,"€1,400",€0,€0,"€4,400","€21,650","-€19,370",,,"-€19,370"
1132,490,2014,DFN,00-10,1.5,6.2,0.4,1.8,385,178,"7,489",862,6.7,,,,€0,€0,€0,€200,"€1,500",€60,€0,€0,,€0,"€1,760",€0,€0,€0,€0,€0,€0,"€1,760","-€1,760",,,"-€1,760"
1134,713,2014,TM,24-40,305.9,24.6,5.7,3.2,14,12,"9,396","4,339",29.5,,,"€2,020,169","€3,529,859","€5,550,028","€394,610","€194,806","€127,594",,"€25,033",,"€35,368","€440,821","€1,218,232","€20,347","€13,373","€17,000",,€0,"€50,720","€1,268,952","€4,281,076","€474,446",,"€3,806,630"
1135,439,2014,FPO,00-10,0.8,5.9,-0.2,1.8,754,575,"16,101","1,460",6.5,,,"€4,700",€0,"€4,700","€4,265",€150,€260,€25,€100,€80,,€0,"€4,880",€130,€0,€0,€0,€0,€130,"€5,010",-€310,,,-€310
1136,229,2014,FPO,10-12,10.4,11.0,2.3,2.4,93,71,"7,944",983,11.1,,,"€50,490",,"€50,490",,"€4,433","€3,941",,,,,"€19,574","€27,948","€1,889",,€200,,€734,"€2,823","€30,771","€19,719","€4,675",,"€15,044"
1137,648,2014,FPO,00-10,6.5,10.9,1.9,2.4,754,575,"16,101","1,460",6.5,1.0,,"€31,078","€1,000","€32,078",€0,"€1,364","€2,100",€120,€900,€0,€0,€0,"€4,484",€0,,€0,€0,€0,€0,"€4,484","€27,594",,,"€27,594"
1138,203,2014,DFN,10-12,21.6,12.1,3.1,2.5,47,22,"3,173",472,11.1,,,"€184,919",€0,"€184,919",€0,"€20,537","€9,603",€0,€0,"€2,225","€3,206","€2,126","€37,697","€5,860","€1,656","€2,160",€0,€0,"€9,676","€47,373","€137,546","€15,863",€0,"€121,683"
1139,386,2014,DFN,00-10,3.3,9.9,1.2,2.3,385,178,"7,489",862,6.7,,,,"€1,000","€1,000",,"€8,900","€3,000",€700,"€1,300",,,"€7,000","€20,900",,,"€1,000",,€0,"€1,000","€21,900","-€20,900",,,"-€20,900"
1140,473,2014,FPO,00-10,4.6,8.6,1.5,2.2,754,575,"16,101","1,460",6.5,2.0,,"€38,421","€10,050","€48,470","€30,400","€5,534","€2,355",€0,€0,€0,€0,"€4,166","€42,455",€0,,€500,€0,€0,€500,"€42,955","€5,515",,,"€5,515"
1141,75,2014,DFN,10-12,8.9,10.9,2.2,2.4,47,22,"3,173",472,11.1,,,"€17,000",,"€17,000","€5,000","€4,000","€1,000",€116,,,,"€2,426","€12,542",,,€500,,"€1,610","€2,110","€14,652","€2,348",,,"€2,348"
1142,705,2014,DRB,24-40,98.4,26.2,4.6,3.3,24,4,"10,380","3,611",31.9,,,"€853,051","€6,000","€859,051","€250,136","€166,028","€29,669",€0,"€16,015",€0,"€7,546","€163,385","€632,779","€24,942","€7,273","€4,668",€0,€0,"€36,883","€669,662","€189,389","€23,681",€0,"€165,708"
1143,187,2014,DFN,00-10,3.2,7.6,1.2,2.0,385,178,"7,489",862,6.7,1.0,,"€27,476","€1,000","€28,476","€15,959","€1,447","€3,177",€225,€200,€150,€0,"€1,518","€22,676",€800,,€500,€0,€0,"€1,300","€23,976","€4,500",,,"€4,500"
1144,560,2014,FPO,00-10,1.0,5.6,0.0,1.7,754,575,"16,101","1,460",6.5,,,"€1,500",,"€1,500",,€150,,,,,,€400,€550,,,,,€0,€0,€550,€950,,,€950
1145,231,2014,TM,24-40,279.0,28.1,5.6,3.3,14,12,"9,396","4,339",29.5,,,"€3,078,256",€0,"€3,078,256","€1,151,197","€213,174","€125,557",€0,"€17,542",€0,"€37,575","€1,099,274","€2,644,319","€41,295",€0,"€5,500","€21,015","€3,372","€71,182","€2,715,501","€362,755","€381,917",€0,"-€19,162"
1146,125,2014,DTS,12-18,43.7,16.0,3.8,2.8,44,43,"7,424","2,025",15.0,,,"€9,600",,"€9,600","€4,800",€960,"€1,500",€150,,,,"€1,400","€8,810",,,€800,,€0,€800,"€9,610",-€10,,,-€10
1148,594,2014,FPO,00-10,1.1,4.9,0.1,1.6,754,575,"16,101","1,460",6.5,1.0,,"€28,362","€1,685","€30,047",€0,"€1,565","€1,000",€180,€0,€0,€0,€900,"€3,645",€0,,€275,€0,€0,€275,"€3,920","€26,127",,,"€26,127"
1149,496,2014,DFN,00-10,2.0,7.2,0.7,2.0,385,178,"7,489",862,6.7,,,"€3,600",€0,"€3,600","€1,200",€500,€150,€100,€0,€0,,€0,"€1,950",€0,€0,€0,€0,€0,€0,"€1,950","€1,650",,,"€1,650"
1150,234,2014,DFN,00-10,6.7,9.7,1.9,2.3,385,178,"7,489",862,6.7,,,"€3,900",,"€3,900",,,€200,€85,,,,€300,€585,,,,,€0,€0,€585,"€3,315",,,"€3,315"
1151,362,2014,FPO,10-12,7.7,10.2,2.0,2.3,93,71,"7,944",983,11.1,2.0,,"€20,500","€1,000","€21,500","€60,188","€40,088","€5,235","€1,117","€5,349",€600,€0,"€7,386","€119,963","€7,950",,"€1,735",€0,€0,"€9,685","€129,648","-€108,148",,,"-€108,148"
1152,492,2014,HOK,00-10,0.5,4.4,-0.7,1.5,70,45,"1,250",128,6.3,,,"€3,200",€0,"€3,200",€0,€400,€300,€0,€0,€0,,€0,€700,€0,€0,€0,€0,€100,€100,€800,"€2,400",,,"€2,400"
1153,35,2014,DTS,18-24,117.0,19.7,4.8,3.0,67,65,"27,283","9,384",21.6,,,"€366,053",€0,"€366,053","€76,566","€138,111","€82,678",€0,"€16,741","€1,889","€2,598","€18,600","€337,183","€9,426","€26,358","€1,240","€5,388","€17,382","€59,794","€396,977","-€30,924","€25,264",€0,"-€56,188"
1155,238,2014,FPO,10-12,9.4,11.5,2.2,2.4,93,71,"7,944",983,11.1,3.0,,"€125,000","€1,000","€126,000","€75,000","€17,000","€2,000",€400,€450,€0,€0,€200,"€95,050",€0,,€763,€200,€0,€963,"€96,013","€29,987",,,"€29,987"
1156,451,2014,DRB,00-10,1.0,4.8,0.0,1.6,358,120,"9,800","1,007",7.0,,,"€8,000",€0,"€8,000","€2,000","€1,200","€2,000",€300,€0,€0,,€981,"€6,481",€300,€0,€500,€0,€600,"€1,400","€7,881",€119,,,€119
1157,8,2014,DTS,24-40,311.0,35.5,5.7,3.6,38,37,"19,027","8,404",26.3,,,"€1,892,784",,"€1,892,784","€466,139","€552,359","€6,245","€7,697",,"€2,909",€225,"€285,939","€1,321,513","€24,286","€89,515","€22,922",,€0,"€136,723","€1,458,235","€434,549","€45,992",,"€388,557"
1158,611,2014,HOK,00-10,0.7,5.5,-0.3,1.7,70,45,"1,250",128,6.3,,,"€1,500",€0,"€1,500",€0,€100,€150,€0,€0,€0,,€0,€250,€0,€0,€0,€0,€0,€0,€250,"€1,250",,,"€1,250"
1159,474,2014,DFN,00-10,0.6,6.1,-0.5,1.8,385,178,"7,489",862,6.7,1.0,,,€0,€0,€0,€500,€500,€30,€0,€0,,€600,"€1,630",€0,€0,€0,€0,€0,€0,"€1,630","-€1,630",,,"-€1,630"
1160,239,2014,FPO,00-10,6.4,9.9,1.9,2.3,754,575,"16,101","1,460",6.5,1.0,,"€33,091","€1,000","€34,091","€8,272","€2,000",€500,€100,€0,€100,€0,€200,"€11,172",€0,,€700,€0,€0,€700,"€11,872","€22,219",,,"€22,219"
1161,353,2014,FPO,10-12,16.1,12.2,2.8,2.5,93,71,"7,944",983,11.1,,,"€220,000","€80,000","€300,000","€80,000","€12,000","€20,000","€2,000",€0,€0,€0,€0,"€114,000","€6,200",€0,"€1,500",€200,€0,"€7,900","€121,900","€178,100",€0,€0,"€178,100"
1163,336,2014,DRB,10-12,11.8,11.4,2.5,2.4,66,24,"5,141",624,10.9,,,"€131,263",€0,"€131,263","€36,000","€12,821","€4,500",€950,"€3,000","€1,200",,"€2,000","€60,471","€2,500",€0,"€1,800",€0,€300,"€4,600","€65,071","€66,192",,,"€66,192"
1164,240,2014,FPO,12-18,11.9,14.3,2.5,2.7,17,15,"1,918",263,13.0,,,"€100,000",€0,"€100,000","€40,000","€8,000","€5,000","€1,000",€0,€0,,"€15,000","€69,000","€1,700",€0,€800,€0,"€3,000","€5,500","€74,500","€25,500",,,"€25,500"
1165,146,2014,FPO,00-10,8.5,10.6,2.1,2.4,754,575,"16,101","1,460",6.5,2.0,,"€135,000","€7,357","€142,357","€44,600","€1,600","€2,000",€600,"€4,000",€400,€500,"€2,800","€56,500","€4,500",,"€1,000",€0,€0,"€5,500","€62,000","€80,357",,,"€80,357"
1166,156,2014,DRB,10-12,10.7,10.8,2.4,2.4,66,24,"5,141",624,10.9,,,"€160,000",€0,"€160,000","€70,000","€10,000","€3,400","€3,000",€0,€0,,"€3,000","€89,400","€1,750",€0,"€1,800",€0,€150,"€3,700","€93,100","€66,900",,,"€66,900"
1167,711,2014,DTS,18-24,186.7,23.7,5.2,3.2,67,65,"27,283","9,384",21.6,,,"€885,428",€0,"€885,428","€198,873","€280,236","€175,690",€0,"€10,610","€1,224","€7,428",€0,"€674,061","€23,055","€10,045","€3,310",€58,"€33,097","€69,565","€743,626","€141,802","€64,445",,"€77,357"
1168,463,2014,FPO,00-10,1.5,6.2,0.4,1.8,754,575,"16,101","1,460",6.5,,,"€2,000",,"€2,000",,€150,,,,,,€0,€150,,,,,€0,€0,€150,"€1,850",,,"€1,850"
1169,152,2014,DTS,12-18,132.5,15.5,4.9,2.7,44,43,"7,424","2,025",15.0,,,"€678,000",€0,"€678,000","€115,000","€203,000","€70,000",€0,"€8,000","€10,000","€10,000","€12,000","€428,000","€15,000","€34,000","€5,000",€0,"€12,000","€66,000","€494,000","€184,000","€57,136",€0,"€126,864"
1170,535,2014,FPO,00-10,2.4,6.7,0.9,1.9,754,575,"16,101","1,460",6.5,,,"€9,000",€0,"€9,000",€0,€800,€200,€180,€0,€0,,"€1,000","€2,180",€400,€0,€0,€0,€0,€400,"€2,580","€6,420",,,"€6,420"
1171,196,2014,TM,40-70,"1,469.0",62.7,7.3,4.1,21,21,"42,520","22,102",52.3,,,"€6,100,090","€191,589","€6,291,679","€1,256,040","€865,982","€1,464,640",€0,"€25,482",€0,"€99,926",€0,"€3,712,070","€122,566",€0,"€19,000","€117,014","€151,416","€409,996","€4,122,066","€2,169,613","€543,596",€0,"€1,626,017"
1172,242,2014,FPO,00-10,2.8,7.3,1.0,2.0,754,575,"16,101","1,460",6.5,2.0,,"€44,226","€3,016","€47,242","€9,551","€1,698","€2,001",€0,€0,€0,€286,"€5,626","€19,162",€0,,€860,€0,€0,€860,"€20,022","€27,220",,,"€27,220"
1173,634,2014,FPO,10-12,19.2,12.2,3.0,2.5,93,71,"7,944",983,11.1,2.0,,"€50,758","€1,000","€51,758",€0,"€18,900","€4,000","€1,600",€0,€0,€0,€50,"€24,550",€0,,€880,€0,€0,€880,"€25,430","€26,328",,,"€26,328"
1174,244,2014,DRB,10-12,11.0,12.0,2.4,2.5,66,24,"5,141",624,10.9,,,"€41,000",€0,"€41,000","€9,898","€2,175","€1,500",€340,€0,€0,,"€1,500","€15,413","€2,500",€0,€750,€0,"€3,000","€6,250","€21,663","€19,337",,,"€19,337"
1175,345,2014,TM,24-40,267.3,28.6,5.6,3.4,14,12,"9,396","4,339",29.5,,,"€2,232,491",€0,"€2,232,491","€662,436","€288,248","€250,859","€6,869","€32,557",€0,"€18,344","€205,149","€1,464,462","€49,629","€72,010","€11,075","€11,687","€67,470","€211,871","€1,676,333","€556,158","€337,028",€0,"€219,130"
1176,583,2014,FPO,00-10,3.2,9.0,1.2,2.2,754,575,"16,101","1,460",6.5,,,"€46,124",€0,"€46,124","€22,076","€2,954","€9,707",€150,€0,€0,,€0,"€34,887",€479,€0,€762,€0,€16,"€1,257","€36,144","€9,980",,,"€9,980"
1177,548,2014,DFN,00-10,1.0,5.1,0.0,1.6,385,178,"7,489",862,6.7,,,"€24,000",,"€24,000",,"€1,250",€500,€100,€250,,,"€9,505","€11,605",,,€400,,€0,€400,"€12,005","€11,995",,,"€11,995"
1178,245,2014,DTS,24-40,162.4,22.0,5.1,3.1,38,37,"19,027","8,404",26.3,,,"€616,267",€0,"€616,267","€230,293","€71,204","€52,154",€0,"€9,980",€0,"€7,651","€37,679","€408,961","€17,716",€0,"€6,208",€0,"€38,217","€62,141","€471,102","€145,165","€7,309",,"€137,856"
1179,181,2014,FPO,00-10,2.7,7.2,1.0,2.0,754,575,"16,101","1,460",6.5,3.0,,"€18,475",€0,"€18,475",€0,"€3,535",€476,€116,€0,€0,€0,"€4,021","€8,148","€1,270",,"€1,236",€0,€0,"€2,506","€10,654","€7,821",,,"€7,821"
1180,102,2014,FPO,10-12,8.6,11.0,2.1,2.4,93,71,"7,944",983,11.1,2.0,,,"€1,000","€1,000",€0,"€6,000","€2,000",€300,"€1,500",€0,€0,€0,"€9,800",€0,,€300,€0,€0,€300,"€10,100","-€9,100",,,"-€9,100"
1181,554,2014,FPO,00-10,3.9,7.7,1.4,2.0,754,575,"16,101","1,460",6.5,,,"€151,000",€0,"€151,000","€4,000","€10,000","€14,000",€500,"€3,000",€0,,€0,"€31,500","€3,000",€0,€750,€250,€150,"€4,150","€35,650","€115,350",,,"€115,350"
1182,355,2014,FPO,10-12,16.1,12.3,2.8,2.5,93,71,"7,944",983,11.1,2.0,,"€999,000","€2,200","€1,001,200","€6,650","€8,532","€1,500","€1,800","€2,200",€0,€0,"€3,270","€23,952","€4,800",,€600,€0,€0,"€5,400","€29,352","€971,848",,,"€971,848"
1183,246,2014,DTS,12-18,43.1,14.8,3.8,2.7,44,43,"7,424","2,025",15.0,,,"€96,338",€0,"€96,338","€15,700","€23,156","€13,716",€0,"€6,795",€0,"€1,310","€5,016","€65,693","€12,510",€0,"€1,495",€0,"€1,519","€15,524","€81,217","€15,121",€0,,"€15,121"
1184,419,2014,FPO,00-10,1.2,6.0,0.2,1.8,754,575,"16,101","1,460",6.5,,,"€13,498",,"€13,498",,"€2,850","€2,500",€900,€400,,,"€6,500","€13,150",,,,,€0,€0,"€13,150",€348,,,€348
1185,199,2014,TM,40-70,696.2,41.0,6.5,3.7,21,21,"42,520","22,102",52.3,,,"€3,808,756",€0,"€3,808,756","€1,006,128","€299,346","€513,879",€0,"€17,609",€0,"€67,086","€393,063","€2,297,111","€82,611","€197,213","€16,085",€0,"€17,554","€313,463","€2,610,574","€1,198,182","€377,934",€0,"€820,248"
1186,126,2014,FPO,10-12,11.5,10.4,2.4,2.3,93,71,"7,944",983,11.1,2.0,,"€55,000","€1,000","€56,000","€12,500","€4,500","€2,500",€500,€0,€0,€0,"€1,250","€21,250",€0,,"€1,230",€0,€0,"€1,230","€22,480","€33,520",,,"€33,520"
1187,73,2014,DFN,10-12,11.3,10.5,2.4,2.3,47,22,"3,173",472,11.1,2.0,,"€78,740","€1,000","€79,740","€24,468","€12,470","€4,500",€600,"€2,000",€0,"€3,200","€2,400","€49,638",€0,,€700,€0,€0,€700,"€50,338","€29,402",,,"€29,402"
1188,206,2014,DRB,00-10,5.0,8.6,1.6,2.1,358,120,"9,800","1,007",7.0,,,"€17,323",,"€17,323",,"€3,401","€1,390",€700,€870,,,"€1,685","€8,046","€1,489",,€670,,€0,"€2,159","€10,205","€7,118",,,"€7,118"
1189,438,2014,DFN,00-10,3.1,7.7,1.1,2.0,385,178,"7,489",862,6.7,,,"€3,000",,"€3,000",,€400,"€2,000",€250,€400,,,€600,"€3,650",,,,,€0,€0,"€3,650",-€650,,,-€650
1190,176,2014,TM,24-40,232.2,28.8,5.4,3.4,14,12,"9,396","4,339",29.5,,,"€1,065,887",,"€1,065,887","€517,745","€124,040","€76,925",,"€11,103",,"€15,829","€79,913","€825,555","€29,870",,"€9,540","€22,011",€0,"€61,421","€886,976","€178,911","€2,125",€222,"€177,008"
1191,20,2014,DTS,18-24,113.3,19.8,4.7,3.0,67,65,"27,283","9,384",21.6,,,"€631,798",,"€631,798","€144,907","€163,206","€98,578",,"€14,820","€8,125","€2,099","€15,404","€447,139","€37,816","€16,730","€3,950",,"€22,919","€81,415","€528,554","€103,244","€53,761",,"€49,483"
1192,527,2014,HOK,00-10,1.9,6.1,0.6,1.8,70,45,"1,250",128,6.3,,,"€1,575",€0,"€1,575",€0,€125,€60,€12,€75,€0,,€250,€522,€0,,€0,€0,€6,€6,€528,"€1,047",,,"€1,047"
1193,85,2014,DRB,10-12,8.0,10.3,2.1,2.3,66,24,"5,141",624,10.9,,,"€147,314",€0,"€147,314","€48,135","€24,904","€5,000",€200,"€1,200",€0,,"€3,500","€82,939","€2,200",€0,€800,€0,"€1,740","€4,740","€87,679","€59,635",,,"€59,635"
1194,255,2014,DFN,10-12,8.3,11.2,2.1,2.4,47,22,"3,173",472,11.1,,,"€70,656","€10,348","€81,004","€33,690","€6,610","€4,210",€0,"€3,590",€500,€0,"€4,802","€53,402",€0,€0,€600,€0,€0,€600,"€54,002","€27,002",€435,€0,"€26,567"
1195,364,2014,FPO,10-12,13.9,11.6,2.6,2.5,93,71,"7,944",983,11.1,3.0,,"€226,200","€1,000","€227,200","€67,860","€26,000","€2,500","€1,000","€1,200",€0,€0,€0,"€98,560","€3,200",,"€1,150",€0,€0,"€4,350","€102,910","€124,290",,,"€124,290"
1196,189,2014,DFN,00-10,5.3,8.3,1.7,2.1,385,178,"7,489",862,6.7,2.0,,"€132,868","€3,604","€136,472",€0,"€11,234","€1,140","€1,332","€7,000",€250,"€3,290",€994,"€25,241",€400,,"€1,750",€0,€0,"€2,150","€27,391","€109,081",,,"€109,081"
1197,18,2014,DTS,18-24,104.5,21.8,4.6,3.1,67,65,"27,283","9,384",21.6,,,"€909,543",€0,"€909,543","€271,360","€195,853","€39,997","€8,583","€12,163","€7,511","€55,337",€0,"€590,804","€10,900",€0,"€2,016","€2,100","€134,445","€149,461","€740,265","€169,278","€3,788",,"€165,490"
1198,495,2014,HOK,00-10,1.5,6.0,0.4,1.8,70,45,"1,250",128,6.3,,,"€7,800",,"€7,800",,"€2,000","€1,500",€200,,,,€350,"€4,050",,,€250,,€0,€250,"€4,300","€3,500",,,"€3,500"
1199,579,2014,FPO,00-10,5.4,8.9,1.7,2.2,754,575,"16,101","1,460",6.5,2.0,,"€61,644","€3,400","€65,044","€12,328","€2,744","€1,000",€200,€0,€0,€50,€350,"€16,672","€1,000",,"€1,200",€0,€0,"€2,200","€18,872","€46,172",,,"€46,172"
1200,86,2014,FPO,10-12,20.4,11.7,3.0,2.5,93,71,"7,944",983,11.1,,,"€50,865","€1,100","€51,965",€0,"€11,204","€5,833",€0,"€25,337",€0,€0,"€10,384","€52,758",€0,€99,€492,€0,€0,€591,"€53,349","-€1,384",€0,€0,"-€1,384"
1201,311,2014,DRB,00-10,5.4,8.3,1.7,2.1,358,120,"9,800","1,007",7.0,2.0,,"€11,600","€1,000","€12,600","€6,960",€850,"€4,000",€150,€0,€0,€0,€89,"€12,049",€0,,€545,€0,€0,€545,"€12,594",€6,,,€6
1202,113,2014,FPO,10-12,3.7,9.8,1.3,2.3,93,71,"7,944",983,11.1,,,"€65,531",€102,"€65,633","€8,770","€6,304","€20,306",,,,€300,"€5,916","€41,596","€2,425",€805,€800,,€0,"€4,030","€45,626","€20,007","€6,509",,"€13,498"
1203,449,2014,DRB,00-10,3.9,9.0,1.4,2.2,358,120,"9,800","1,007",7.0,,,"€6,000",,"€6,000","€2,400",€400,€300,,,,,€0,"€3,100",,,,€150,€150,€300,"€3,400","€2,600",,,"€2,600"
1204,592,2014,FPO,00-10,2.9,8.6,1.1,2.2,754,575,"16,101","1,460",6.5,2.0,,"€30,000","€1,000","€31,000","€2,400","€4,000","€1,000",€300,€0,€200,€0,"€1,150","€9,050",€0,,€750,€0,€0,€750,"€9,800","€21,200",,,"€21,200"
1205,257,2014,DTS,18-24,120.5,23.3,4.8,3.1,67,65,"27,283","9,384",21.6,,,"€285,102",,"€285,102","€89,942","€79,723","€37,908",,"€14,517","€10,771","€4,014",€956,"€237,831","€12,724","€15,947","€4,500",,"€10,433","€43,604","€281,435","€3,667","€13,654",,"-€9,987"
1206,595,2014,FPO,00-10,1.1,5.9,0.1,1.8,754,575,"16,101","1,460",6.5,1.0,,,"€1,154","€1,154",,"€2,392","€1,050",€90,€0,€0,€0,"€1,400","€4,932","€1,020",,€400,€0,€0,"€1,420","€6,352","-€5,198",,,"-€5,198"
1207,360,2014,FPO,12-18,15.0,12.7,2.7,2.5,17,15,"1,918",263,13.0,4.0,,,"€1,000","€1,000",,"€88,000","€3,000","€1,000",€0,€0,€0,"€9,960","€101,960","€4,500",,"€1,500",€0,€0,"€6,000","€107,960","-€106,960",,,"-€106,960"
1208,112,2014,FPO,00-10,2.6,9.2,1.0,2.2,754,575,"16,101","1,460",6.5,1.0,,"€9,000","€1,000","€10,000",€0,"€1,750",€500,€250,€0,€0,€0,€0,"€2,500",€0,,"€1,000",€0,€0,"€1,000","€3,500","€6,500",,,"€6,500"
1209,61,2014,DFN,12-18,65.3,15.4,4.2,2.7,10,5,"1,069",239,13.3,,,"€523,049",€0,"€523,049","€198,047","€62,795","€40,780",€0,€0,"€27,096",€0,"€49,440","€378,158","€5,079","€1,416","€3,400","€7,235",€0,"€17,130","€395,288","€127,761","€7,785",€0,"€119,976"
1210,159,2014,DRB,00-10,14.8,9.3,2.7,2.2,358,120,"9,800","1,007",7.0,,,"€241,283",€0,"€241,283","€141,806","€22,087","€16,076",€741,€0,€0,€0,€0,"€180,710","€2,492",€0,€545,€0,€338,"€3,375","€184,085","€57,198",€0,€0,"€57,198"
1211,154,2014,FPO,00-10,5.1,8.8,1.6,2.2,754,575,"16,101","1,460",6.5,,,"€53,000","€1,000","€54,000",,"€2,500",€120,€250,,,,"€6,500","€9,370",,,,,€0,€0,"€9,370","€44,630",,,"€44,630"
1212,163,2014,FPO,00-10,8.5,9.1,2.1,2.2,754,575,"16,101","1,460",6.5,3.0,,"€163,000","€1,500","€164,500","€21,600","€15,000","€8,000",€800,€0,€0,€0,"€1,460","€46,860","€2,180",,€900,€0,€0,"€3,080","€49,940","€114,560",,,"€114,560"
1213,532,2014,FPO,00-10,0.9,5.7,-0.1,1.7,754,575,"16,101","1,460",6.5,1.0,,"€523,049","€1,000","€524,049",€0,"€57,190","€40,780",€0,"€15,760","€11,335",€0,"€247,785","€372,850","€9,455",,"€3,400","€7,235",€0,"€20,090","€392,940","€131,109",,,"€131,109"
1214,420,2014,DFN,00-10,1.3,5.9,0.3,1.8,385,178,"7,489",862,6.7,,,,€0,€0,"€2,043",€250,"€2,534",€0,€80,€0,,€740,"€5,646",€0,€0,€0,€0,€0,€0,"€5,646","-€5,646",,,"-€5,646"
1215,195,2014,DTS,24-40,160.7,25.2,5.1,3.2,38,37,"19,027","8,404",26.3,,,"€814,052",,"€814,052","€151,763","€269,665","€109,628",,"€28,022","€3,361","€5,475","€66,031","€633,945","€28,160","€46,790","€5,500",€440,"€2,480","€83,370","€717,315","€96,737","€58,000",,"€38,737"
1216,64,2014,DFN,12-18,24.1,14.4,3.2,2.7,10,5,"1,069",239,13.3,,,"€93,658",,"€93,658","€23,948","€18,173","€6,346",€1,"€1,908",,"€3,400","€16,451","€70,227",€553,,€615,,"€1,948","€3,116","€73,343","€20,315",,"€2,424","€22,739"
1217,142,2014,DTS,24-40,368.2,27.0,5.9,3.3,38,37,"19,027","8,404",26.3,,,"€1,250,193","€13,874","€1,264,067","€272,941","€419,290","€186,845","€8,320","€27,779",€0,"€50,487","€105,503","€1,071,165","€50,245",€0,"€5,500","€2,439",€0,"€58,184","€1,129,349","€134,718","€149,489",€0,"-€14,771"
1218,543,2014,FPO,00-10,0.8,5.7,-0.2,1.7,754,575,"16,101","1,460",6.5,,,"€32,020",€0,"€32,020",€0,"€4,340","€2,700",€250,€835,€0,,€0,"€8,125",€450,€0,€676,€0,€0,"€1,126","€9,251","€22,769",,,"€22,769"
1219,601,2014,FPO,00-10,2.7,7.9,1.0,2.1,754,575,"16,101","1,460",6.5,2.0,,"€80,000","€2,992","€82,992","€20,000","€2,400","€3,000",€150,€0,€0,€0,"€4,150","€29,700","€1,150",,€900,€0,€0,"€2,050","€31,750","€51,242",,,"€51,242"
1220,644,2014,FPO,00-10,1.0,6.0,0.0,1.8,754,575,"16,101","1,460",6.5,,,,€0,€0,€0,€50,€0,€0,€0,€0,,€0,€50,€0,€0,€0,€0,€0,€0,€50,-€50,,,-€50
1221,9,2014,TM,40-70,676.2,38.4,6.5,3.6,21,21,"42,520","22,102",52.3,,,"€3,419,079","€5,145,391","€8,564,470","€621,924","€313,824","€136,110",,"€17,583",,"€40,157","€631,153","€1,760,751","€60,000","€59,195","€11,000","€1,650",€0,"€131,845","€1,892,596","€6,671,874","€703,092",,"€5,968,782"
1222,542,2014,FPO,00-10,1.0,6.1,0.0,1.8,754,575,"16,101","1,460",6.5,,,"€3,400","€30,000","€33,400",,,,,,,,€0,€0,,,,,€0,€0,€0,"€33,400",,,"€33,400"
1223,116,2014,FPO,00-10,11.7,10.1,2.5,2.3,754,575,"16,101","1,460",6.5,,,"€119,563",€0,"€119,563","€29,348","€1,972","€16,103",€0,"€4,198","€2,010","€1,155",€0,"€54,786","€4,357","€5,291","€2,214",€0,"€19,958","€31,820","€86,606","€32,957","€19,195",,"€13,762"
1224,501,2014,DRB,00-10,2.7,8.1,1.0,2.1,358,120,"9,800","1,007",7.0,,,"€7,000",€0,"€7,000",€0,€900,€200,,,,,€0,"€1,100",,,,,€0,€0,"€1,100","€5,900",,,"€5,900"
