Reference Number,Vessel  ID,Year,Segment,Size Category,Capacity (GT),Length,Capacity Index,Size Index, Total Number of vessels in Segment , Total Active Vessels in Segment , Total Engine Power (kW) for Segment-Size , Total Capacity (GT)  for Segment-Size , Average Length for Segment ,Total Jobs,FTE,  Fishing Income,Non Fishing Income,Total Income, Wages,Energy Costs (Fuel),Repairs & Maintenance,Filters/Lube Oil,Provisions,Ice,Dues & Levies,Sundry Variable Costs,Total Variable Costs,Insurance,Loan Interest,Accountancy,Legal Fees,Sundry fixed costs,Total Fixed Costs,TOTAL COSTS,GROSS PROFIT,Depreciation,Sundry receipts,Net Profit / (Loss)
57,660,2008,TM,24-40,0.0,0.0,,,14,14,"9,270","4,260",29.1,6.0,6.0,"€1,017,609","€106,941","€1,124,550","€198,819","€102,395","€29,867",,"€10,638",,"€25,713","€56,924","€424,356","€27,370","€77,071","€12,000","€1,290","€117,469","€235,200","€659,556","€464,994","€160,531","€28,553","€333,016"
58,661,2008,TM,24-40,0.0,0.0,,,14,14,"9,270","4,260",29.1,6.0,6.0,"€897,332","€20,887","€918,219","€191,929","€129,693","€87,064",,"€35,628",,"€16,068","€167,254","€627,636","€43,085",,"€11,360",,"€180,035","€234,480","€862,116","€56,103","€173,309",-€893,"-€118,099"
59,662,2008,DTS,12-18,0.0,0.0,,,70,57,"10,867","2,680",14.8,4.0,3.0,"€186,623","€35,866","€222,489","€65,662","€46,744","€28,448",,"€1,481",€464,"€1,304","€16,643","€160,746","€7,891",,"€5,500",,"€2,095","€15,486","€176,232","€46,257",,,"€46,257"
60,663,2008,DTS,12-18,0.0,0.0,,,70,57,"10,867","2,680",14.8,4.0,3.0,"€138,658",,"€138,658","€8,815","€32,457","€35,445",,"€8,843","€1,069","€1,540","€3,215","€91,384","€13,283",,"€1,395",€88,"€19,279","€34,045","€125,429","€13,229",,,"€13,229"
61,664,2008,DTS,12-18,0.0,0.0,,,70,57,"10,867","2,680",14.8,,,"€93,379",,"€93,379","€9,375","€26,880","€11,725","€4,608","€4,907",€397,€755,"€6,894","€65,541","€9,800",,"€1,445",,"€3,139","€14,384","€79,925","€13,454",,,"€13,454"
62,665,2008,DTS,18-24,0.0,0.0,,,85,76,"31,631","11,163",21.3,5.0,4.5,"€338,461",,"€338,461","€50,192","€91,698","€42,081",,"€6,642","€3,796","€1,422","€28,770","€224,601","€11,463","€9,068","€4,759",,"€6,704","€31,994","€256,595","€81,866","€77,281",,"€4,585"
63,666,2008,DTS,18-24,0.0,0.0,,,85,76,"31,631","11,163",21.3,7.0,6.0,"€768,339",,"€768,339","€182,707","€194,956","€92,053","€33,212",,,,"€86,070","€588,998","€22,834","€1,184","€4,500",,"€60,442","€88,960","€677,958","€90,381","€15,635","-€3,622","€71,124"
64,667,2008,FPO,12-18,0.0,0.0,,,24,19,"2,765",463,13.2,4.0,4.0,"€154,000",,"€154,000","€69,714",,,,,,,"€31,000","€100,714","€7,600","€4,500",,,"€43,100","€55,200","€155,914","-€1,914","€10,000",,"-€11,914"
65,668,2008,DTS,12-18,0.0,0.0,,,70,57,"10,867","2,680",14.8,2.0,1.5,"€139,045",,"€139,045","€32,096","€17,916","€24,117","€2,700","€7,313","€2,475","€1,020","€9,781","€97,418","€6,954","€9,534","€2,414",,"€3,167","€22,069","€119,487","€19,558","€9,635","-€2,083","€7,840"
67,670,2008,DTS,18-24,0.0,0.0,,,85,76,"31,631","11,163",21.3,5.0,5.0,"€697,258","€60,363","€757,621","€134,437","€218,550","€93,168",,"€7,538",,"€8,350","€45,547","€507,590","€31,096","€111,509","€4,500","€3,111","€88,302","€238,518","€746,108","€11,513","€202,098","€56,249","-€134,336"
68,671,2008,DTS,12-18,0.0,0.0,,,70,57,"10,867","2,680",14.8,8.0,5.0,"€419,056",,"€419,056","€116,180","€87,820","€16,928",,"€17,280",,,"€77,205","€315,413","€18,029",,"€4,515","€3,581","€30,589","€56,714","€372,127","€46,929","€6,658","€70,143","€110,414"
69,672,2008,TM,24-40,0.0,0.0,,,14,14,"9,270","4,260",29.1,6.0,6.0,"€1,644,704","€368,321","€2,013,025","€277,985","€320,908","€145,921",,"€15,084",,"€17,268","€216,792","€993,958","€64,515","€355,093","€9,680",,"€7,396","€436,684","€1,430,642","€582,383","€2,000",,"€580,383"
70,673,2008,DTS,18-24,0.0,0.0,,,85,76,"31,631","11,163",21.3,3.0,3.0,"€274,456",,"€274,456","€66,788","€103,020","€44,724",,"€16,697","€6,518",€900,"€18,768","€257,415","€34,511",,€975,,"€8,091","€43,577","€300,992","-€26,536",,,"-€26,536"
71,674,2008,DTS,18-24,0.0,0.0,,,85,76,"31,631","11,163",21.3,16.0,11.0,"€1,238,272",,"€1,238,272","€236,223","€358,650","€174,090",,"€21,293",,"€1,455","€482,233","€1,273,944","€32,235",,"€3,160","€5,427","€20,391","€61,213","€1,335,157","-€96,885","€32,315","-€6,294","-€135,494"
72,675,2008,DTS,12-18,0.0,0.0,,,70,57,"10,867","2,680",14.8,4.0,4.0,"€311,069",,"€311,069","€60,821","€71,172","€13,730","€20,260",,"€3,072",,"€7,304","€176,359","€31,448","€52,275","€1,845",,"€11,170","€96,738","€273,097","€37,972","€116,632",,"-€78,660"
73,676,2008,FPO,12-18,0.0,0.0,,,24,19,"2,765",463,13.2,4.0,4.0,"€114,000",,"€114,000","€54,285",,,,,,,"€19,000","€73,285","€6,100","€3,300",,,"€28,400","€37,800","€111,085","€2,915","€8,000",,"-€5,085"
